,상품명,가격,이미지,행사정보,편의점 이름,카테고리
23,오란씨파인250캔,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_206%2F1595900127256jEEob_JPEG%2F8801097134218.jpg,1+1,미니스톱,음료
24,황성주데일리아몬드190ml,"1,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_88%2F1595900278780mFLjs_JPEG%2F8809111691723.jpg,1+1,미니스톱,음료
25,이프리치주스드링크350펫,"1,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_77%2F1595900142704hDJFR_JPEG%2F8859015700946.jpg,1+1,미니스톱,음료
26,이프청포도주스드링크350펫,"1,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_244%2F1595900142911n9IxU_JPEG%2F8859015700434.jpg,1+1,미니스톱,음료
27,데자와밀크티250캔,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_37%2F1595899900713ipGHf_JPEG%2F8801097481015.jpg,1+1,미니스톱,음료
28,마스터토닉워터400펫,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_22%2F1595899953558ShOea_JPEG%2F8801056170943.jpg,1+1,미니스톱,음료
29,마운틴듀330캔,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_82%2F159589995388148Afo_JPEG%2F8801056716011.jpg,1+1,미니스톱,음료
30,밀키스320캔,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_228%2F1595899985144CsRJx_JPEG%2F8801056043551.jpg,1+1,미니스톱,음료
31,스프라이트250캔,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_117%2F1595900075127LY4wr_JPEG%2F8801094203009.jpg,1+1,미니스톱,음료
32,펩시콜라330캔,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_253%2F15959002349482goNc_JPEG%2F8801056150013.jpg,1+1,미니스톱,음료
33,가토수박320펫,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_204%2F1595899853878eHRSH_JPEG%2F8850624197226.jpg,1+1,미니스톱,음료
34,과일사이다딸기키위380펫,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_83%2F1595899861182UbG1t_JPEG%2F8801105916157.jpg,1+1,미니스톱,음료
35,과일사이다파인애플380펫,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_40%2F1595899861511kbb3H_JPEG%2F8801105916133.jpg,1+1,미니스톱,음료
36,광동비타500로열폴리스120ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_19%2F1595899868345ifulf_JPEG%2F8806002017990.jpg,1+1,미니스톱,음료
37,구수한보리차500펫,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_279%2F1595899870826feSmn_JPEG%2F8809125068658.jpg,1+1,미니스톱,음료
38,바나나킥우유300ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_102%2F1595899991819wzqOl_JPEG%2F8806371307258.jpg,1+1,미니스톱,음료
39,바이오티애플소다350펫,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_287%2F1595899996470OByRI_JPEG%2F8809390650732.jpg,1+1,미니스톱,음료
40,썬키스트레몬워터500펫,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_124%2F1595900089448gKPNL_JPEG%2F8801105915266.jpg,1+1,미니스톱,음료
41,천호)석류70ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_89%2F1595900168720Y6u84_JPEG%2F8802785003038.jpg,1+1,미니스톱,음료
42,천호)포도당100ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_122%2F1595900169237kIlDM_JPEG%2F8802785104933.jpg,1+1,미니스톱,음료
43,초코에몽원컵,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_154%2F15959001706322gEeU_JPEG%2F8801069406619.jpg,1+1,미니스톱,음료
44,파스퇴르)유기농야채농장190ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_80%2F1595900226990CJgNj_JPEG%2F8801207070368.jpg,1+1,미니스톱,음료
45,푸르밀)초코바나나킥300ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_238%2F1595900237892tPnGo_JPEG%2F8806371307494.jpg,1+1,미니스톱,음료
46,카페베네모카라떼,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_278%2F1595900181894D4Nhe_JPEG%2F8806371304271.jpg,1+1,미니스톱,음료
47,카페베네카라멜마끼아또,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_162%2F1595900182279FIzzz_JPEG%2F8806371305452.jpg,1+1,미니스톱,음료
48,카페베네카페라떼,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_1%2F1595900182691HdNPC_JPEG%2F8806371304264.jpg,1+1,미니스톱,음료
49,레쓰비그란데라떼500펫,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_43%2F1595899939936ywhWP_JPEG%2F8801056097899.jpg,1+1,미니스톱,음료
50,빙)닥터캡슐사과130ml,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_236%2F1595900019442Kbx33_JPEG%2F8801104665421.jpg,1+1,미니스톱,음료
51,빙)닥터캡슐프로텍트130ml,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_116%2F1595900019772nRPA2_JPEG%2F8801104302739.jpg,1+1,미니스톱,음료
52,아침헛개500,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_206%2F15959001009421suTQ_JPEG%2F8801056051099.jpg,1+1,미니스톱,음료
53,스페셜티다크250ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_178%2F1595900069791c1G78_JPEG%2F8801115139577.jpg,1+1,미니스톱,음료
54,스페셜티마일드250ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_131%2F1595900073064cJxTd_JPEG%2F8801115139560.jpg,1+1,미니스톱,음료
55,게토레이블루볼트600펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_173%2F15958998587421H1CR_JPEG%2F8801056052218.jpg,1+1,미니스톱,음료
56,새싹보리500펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_74%2F1595900044674u4s9c_JPEG%2F8809422041125.jpg,1+1,미니스톱,음료
57,신)게토레이레몬중펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_217%2F1595900076653hPcvn_JPEG%2F8801056049201.jpg,1+1,미니스톱,음료
58,이토엔)오이오녹차525펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_287%2F1595900142155hejcc_JPEG%2F4901085003800.jpg,1+1,미니스톱,음료
59,이토엔)쟈스민차500펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_150%2F1595900142431u2yKh_JPEG%2F4901085002292.jpg,1+1,미니스톱,음료
60,콘트라베이스티그린티500펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_207%2F1595900196455SNE6i_JPEG%2F8801056169886.jpg,1+1,미니스톱,음료
61,콘트라베이스티보리500펫,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_203%2F1595900196755AAAuR_JPEG%2F8801056169848.jpg,1+1,미니스톱,음료
62,핫식스더킹스톰330캔,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_1%2F1595900255871Gs8PV_JPEG%2F8801056168919.jpg,1+1,미니스톱,음료
63,핫식스더킹파워330캔,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_247%2F15959002561755MnsH_JPEG%2F8801056098834.jpg,1+1,미니스톱,음료
64,핫식스더킹펀치330캔,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_41%2F15959002564471eowX_JPEG%2F8801056098858.jpg,1+1,미니스톱,음료
65,핫식스더킹포스330캔,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_114%2F1595900256732HpGWo_JPEG%2F8801056171032.jpg,1+1,미니스톱,음료
66,황제,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_144%2F15959002792299F6Fp_JPEG%2F8809330470833.jpg,1+1,미니스톱,음료
67,보성꽃차500펫,"2,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_195%2F1595900004645TIsIB_JPEG%2F8801047289869.jpg,1+1,미니스톱,음료
68,보성말차500펫,"2,200원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_202%2F1595900005053QRFa2_JPEG%2F8801047289852.jpg,1+1,미니스톱,음료
69,스페셜티라떼300ml,"2,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_33%2F15959000718662zgaG_JPEG%2F8801115139706.jpg,1+1,미니스톱,음료
70,스페셜티블랙300ml,"2,300원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_126%2F1595900073657nx3mq_JPEG%2F8801115139737.jpg,1+1,미니스톱,음료
71,르블렌)자몽히비스커스500펫,"2,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_88%2F1595899950845rQxN3_JPEG%2F8809422041576.jpg,1+1,미니스톱,음료
72,르블렌)피치캐모마일500펫,"2,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_172%2F1595899951196RBr9L_JPEG%2F8809422041583.jpg,1+1,미니스톱,음료
73,빙)닥터캡슐밀크씨슬130ml,"2,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_243%2F1595900019151aowVQ_JPEG%2F8801104667364.jpg,1+1,미니스톱,음료
74,예가체프아메리카노350ml,"2,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_171%2F15959001188849HI9F_JPEG%2F8809117021159.jpg,1+1,미니스톱,음료
75,조지아크래프트아메리카노470펫,"2,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_22%2F15959001539236OY21_JPEG%2F8801094502669.jpg,1+1,미니스톱,음료
76,조지아크래프트카페라떼470펫,"2,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_253%2F1595900154296NtcH0_JPEG%2F8801094512668.jpg,1+1,미니스톱,음료
77,코카)토레타900펫,"2,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_289%2F15959001954964z7cA_JPEG%2F8801094412708.jpg,1+1,미니스톱,음료
78,스프라이트1.25펫,"2,700원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_300%2F1595900074874QKbJ0_JPEG%2F8801094202309.jpg,1+1,미니스톱,음료
79,컨디션헛개수EX500펫,"3,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_191%2F1595900191546EX3vl_JPEG%2F8809422041729.jpg,1+1,미니스톱,음료
80,생기엔마시는콜라겐,"3,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_115%2F1595900046217Rvmco_JPEG%2F8809330474619.jpg,1+1,미니스톱,음료
81,조지아크래프트블랙800펫,"3,700원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_114%2F1595900153655vDaUN_JPEG%2F8801094502300.jpg,1+1,미니스톱,음료
82,모닝파워캔,"4,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_26%2F1595899975604vQTKM_JPEG%2F8809188842035.jpg,1+1,미니스톱,음료
83,허니스피드부스터(숙취해소음료),"4,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_109%2F1595900271168nYCEH_JPEG%2F8809330475500.jpg,1+1,미니스톱,음료
84,폴앤베이크)모카골드20T,"4,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_82%2F1595900235795WvpwN_JPEG%2F8809081561378.jpg,1+1,미니스톱,음료
85,광동)경옥진100ml,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_86%2F1595899863309K0evg_JPEG%2F8806002018201.jpg,1+1,미니스톱,음료
86,깨수깡160ml캔,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_260%2F1595899876121relcJ_JPEG%2F8801056104641.jpg,1+1,미니스톱,음료
87,대웅베아큐세트,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_159%2F1595899897183zGIkD_JPEG%2F8809330475586.jpg,1+1,미니스톱,음료
88,숙취해소간개무량150ml,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_265%2F1595900063461vivOx_JPEG%2F8801147123155.jpg,1+1,미니스톱,음료
89,천지개벽100ml병,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_249%2F1595900166501mOQtQ_JPEG%2F8809329050015.jpg,1+1,미니스톱,음료
90,폴앤베이크)스위트20T,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_40%2F1595900236209HqAWb_JPEG%2F8809081561392.jpg,1+1,미니스톱,음료
91,폴앤베이크)아메리카노20T,"5,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_139%2F1595900236668KXCYX_JPEG%2F8809081561385.jpg,1+1,미니스톱,음료
92,케이쿨120ml(숙취해소음료),"6,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_187%2F1595900194463ExDGy_JPEG%2F8809509800010.jpg,1+1,미니스톱,음료
93,대웅우루에스메가센타세트,"10,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_117%2F1595899897530eIWVx_JPEG%2F8809330471205.jpg,1+1,미니스톱,음료
94,몽베스트생수500,800원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_271%2F1595899976378sCCTa_JPEG%2F8803186200125.jpg,2+1,미니스톱,음료
95,백두산백산수330펫,800원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_124%2F1595899999975ifdJn_JPEG%2F8801043031929.jpg,2+1,미니스톱,음료
96,대니쉬우유200ml,900원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_236%2F1595899895183sCsuz_JPEG%2F8801155811617.jpg,2+1,미니스톱,음료
97,백두산백산수500,950원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_256%2F1595900000092ITNm0_JPEG%2F8801043022781.jpg,2+1,미니스톱,음료
98,서울바나나우유팩,950원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_260%2F1595900057532XEM7e_JPEG%2F8801115137214.jpg,2+1,미니스톱,음료
99,서울쵸코우유팩,950원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_201%2F1595900059893qKfAL_JPEG%2F8801115134237.jpg,2+1,미니스톱,음료
100,신)강원평창수500펫,950원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_78%2F1595900076221YV2m6_JPEG%2F8801105915303.jpg,2+1,미니스톱,음료
